GA,GF,GW,opponent,opponent_name,team,team_name,was_home,pts_won,pts_total,rating,rating_standardized,binned_rating
6,4,5,19,WHU,2,AVL,1,1,4,2,-0.677571456735448,2
9,8,5,8,EVE,3,BOU,1,3,7,6,-0.10698496685296548,3
8,5,5,5,BUR,4,BHA,1,1,5,2,-0.677571456735448,2
7,6,5,4,BHA,5,BUR,0,1,5,4,-0.39227821179420674,3
11,11,5,20,WOL,6,CHE,0,3,8,8,0.1783082780882758,4
6,3,5,17,TOT,7,CRY,0,0,7,4,-0.39227821179420674,3
7,5,5,3,BOU,8,EVE,0,0,7,5,-0.24963158932358612,3
4,6,5,12,MUN,9,LEI,0,0,8,10,0.46360152302951707,4
4,15,5,13,NEW,10,LIV,1,3,15,26,2.745947482559447,6
6,16,5,14,NOR,11,MCI,0,0,10,20,1.8900677477357233,6
4,8,5,9,LEI,12,MUN,1,3,8,12,0.7488947679707583,5
8,4,5,10,LIV,13,NEW,0,0,4,0,-0.9628647016766892,2
12,9,5,11,MCI,14,NOR,1,3,6,3,-0.5349248342648274,2
6,5,5,16,SOU,15,SHU,1,0,5,4,-0.39227821179420674,3
6,5,5,15,SHU,16,SOU,0,3,7,6,-0.10698496685296548,3
6,11,5,7,CRY,17,TOT,1,3,8,13,0.8915413904413789,5
10,4,5,1,ARS,18,WAT,1,1,2,-4,-1.5334511915591718,1
7,6,5,2,AVL,19,WHU,0,1,8,7,0.03566165561765516,4
10,6,5,6,CHE,20,WOL,1,0,3,-1,-1.1055113241473098,1
10,11,6,2,AVL,1,ARS,1,3,11,12,0.3957093135526849,4
9,6,6,1,ARS,2,AVL,0,0,4,1,-0.7348887251692721,2
10,11,6,16,SOU,3,BOU,0,3,10,11,0.2929276736688706,4
8,5,6,13,NEW,4,BHA,0,1,6,3,-0.5293254454016435,2
7,8,6,14,NOR,5,BUR,1,3,8,9,0.0873643939012421,4
13,12,6,10,LIV,6,CHE,1,0,8,7,-0.11819888586638645,3
7,4,6,20,WOL,7,CRY,1,1,8,5,-0.323762165634015,3
9,5,6,15,SHU,8,EVE,1,0,7,3,-0.5293254454016435,2
5,8,6,17,TOT,9,LEI,1,3,11,14,0.6012725933203135,5
5,17,6,6,CHE,10,LIV,0,3,18,30,2.245778831461342,6
6,24,6,18,WAT,11,MCI,1,3,13,31,2.348560471345156,6
6,8,6,19,WHU,12,MUN,0,0,8,10,0.19014603378505637,4
8,4,6,4,BHA,13,NEW,1,1,5,1,-0.7348887251692721,2
14,9,6,5,BUR,14,NOR,0,0,6,1,-0.7348887251692721,2
6,7,6,8,EVE,15,SHU,0,3,8,9,0.0873643939012421,4
9,6,6,3,BOU,16,SOU,1,0,7,4,-0.4265438055178293,3
8,12,6,9,LEI,17,TOT,0,0,8,12,0.3957093135526849,4
18,4,6,11,MCI,18,WAT,0,0,2,-12,-2.0710500436588575,1
7,8,6,12,MUN,19,WHU,1,3,11,12,0.3957093135526849,4
11,7,6,7,CRY,20,WOL,0,1,4,0,-0.8376703650530863,2
11,12,7,12,MUN,1,ARS,0,1,12,13,0.296305682891959,4
11,8,7,5,BUR,2,AVL,1,1,5,2,-0.6349407490541978,2
12,13,7,19,WHU,3,BOU,1,1,11,12,0.2116469163513993,4
10,5,7,6,CHE,4,BHA,0,0,6,1,-0.7195995155947577,2
9,10,7,2,AVL,5,BUR,0,1,9,10,0.04232938327027986,4
13,14,7,4,BHA,6,CHE,1,3,11,12,0.2116469163513993,4
7,6,7,14,NOR,7,CRY,1,3,11,10,0.04232938327027986,4
12,6,7,11,MCI,8,EVE,1,0,7,1,-0.7195995155947577,2
5,13,7,13,NEW,9,LEI,1,3,14,22,1.0582345817569965,6
5,18,7,15,SHU,10,LIV,0,3,21,34,2.074139780243713,6
7,27,7,8,EVE,11,MCI,0,3,16,36,2.2434573133248326,6
7,9,7,1,ARS,12,MUN,1,1,9,11,0.12698814981083958,4
13,4,7,9,LEI,13,NEW,0,0,5,-4,-1.1428933482975563,1
16,9,7,7,CRY,14,NOR,0,0,6,-1,-0.8889170486758771,2
7,7,7,10,LIV,15,SHU,1,0,8,8,-0.12698814981083958,3
11,7,7,17,TOT,16,SOU,0,0,7,3,-0.5502819825136381,2
9,14,7,16,SOU,17,TOT,1,3,11,16,0.5502819825136381,5
20,4,7,20,WOL,18,WAT,0,0,2,-14,-1.9894810137031533,1
9,10,7,3,BOU,19,WHU,0,1,12,13,0.296305682891959,4
11,9,7,18,WAT,20,WOL,1,3,7,5,-0.3809644494325187,3
